Date,Filename,Total,Additions,Deletions
2020-01-01,README.md,2,1,1
2019-11-01,README.md,2,1,1
2019-11-01,from_darknet_weights_to_ckpt.py,6,3,3
2019-11-01,from_darknet_weights_to_ckpt.py,75,75,0
2019-11-01,from_darknet_weights_to_pb.py,26,26,0
2019-11-01,common.py,6,2,4
2019-11-01,from_darknet_weights_to_ckpt.py,75,75,0
2019-11-01,from_darknet_weights_to_ckpt.py,74,0,74
2019-11-01,from_darknet_weights_to_pb.py,26,26,0
2019-11-01,from_darknet_weights_to_ckpt.py,0,0,0
2019-11-01,from_darknet_weights_to_ckpt,74,74,0
2019-11-01,README.md,4,2,2
2019-11-01,README.md,2,1,1
2019-11-01,README.md,2,1,1
2019-11-01,README.md,2,1,1
2019-11-01,README.md,3,1,2
2019-11-01,README.md,4,2,2
2019-11-01,README.md,41,12,29
2019-11-01,README.md,3,1,2
2019-11-01,README.md,20,5,15
2019-11-01,README.md,5,5,0
2019-11-01,README.md,6,5,1
2019-11-01,README.md,13,11,2
2019-11-01,README.md,6,5,1
2019-10-01,FUNDING.yml,12,12,0
2019-10-01,common.py,2,0,2
2019-10-01,common.py,4,4,0
2019-10-01,README.md,2,1,1
2019-10-01,README.md,2,1,1
2019-10-01,README.md,2,1,1
2019-10-01,README.md,2,1,1
2019-10-01,README.md,2,1,1
2019-10-01,README.md,2,2,0
2019-10-01,README.md,8,4,4
2019-10-01,README.md,1,1,0
2019-10-01,README.md,2,1,1
2019-10-01,README.md,2,1,1
2019-10-01,README.md,55,1,54
2019-10-01,K-means.png,0,0,0
2019-10-01,darknet53.png,0,0,0
2019-10-01,iou.png,0,0,0
2019-10-01,levio.jpeg,0,0,0
2019-10-01,probability_extraction.png,0,0,0
2019-10-01,yolov3.png,0,0,0
2019-09-01,README.md,2,1,1
2019-09-01,dataset.py,2,1,1
2019-09-01,FUNDING.yml,12,0,12
2019-09-01,FUNDING.yml,12,12,0
2019-08-01,README.md,2,1,1
2019-08-01,README.md,2,1,1
2019-08-01,README.md,2,1,1
2019-08-01,README.md,2,1,1
2019-08-01,README.md,2,1,1
2019-08-01,README.md,2,1,1
2019-08-01,README.md,2,2,0
2019-08-01,README.md,2,1,1
2019-08-01,README.md,2,1,1
2019-08-01,README.md,2,1,1
2019-07-01,README.md,2,1,1
2019-07-01,README.md,2,1,1
2019-07-01,image_demo.py,1,1,0
2019-07-01,video_demo.py,1,1,0
2019-07-01,video_demo.py,1,0,1
2019-07-01,image_demo.py,1,0,1
2019-07-01,README.md,2,1,1
2019-07-01,README.md,2,1,1
2019-07-01,README.md,3,1,2
2019-07-01,config.py,4,2,2
2019-07-01,README.md,2,1,1
2019-07-01,README.md,2,1,1
2019-07-01,README.md,3,3,0
2019-06-01,LICENSE.fuck,6,3,3
2019-06-01,LICENSE.fuck,13,13,0
2019-06-01,README.md,2,1,1
2019-06-01,README.md,2,1,1
2019-06-01,utils.py,2,1,1
2019-05-01,show_bboxes.py,32,32,0
2019-05-01,config.py,2,1,1
2019-05-01,config.py,10,5,5
2019-05-01,dataset.py,1,0,1
2019-05-01,__init__.cpython-35.pyc,0,0,0
2019-05-01,backbone.cpython-35.pyc,0,0,0
2019-05-01,common.cpython-35.pyc,0,0,0
2019-05-01,config.cpython-35.pyc,0,0,0
2019-05-01,dataset.cpython-35.pyc,0,0,0
2019-05-01,utils.cpython-35.pyc,0,0,0
2019-05-01,yolov3.cpython-35.pyc,0,0,0
2019-05-01,events.out.tfevents.1558402325.yang,0,0,0
2019-05-01,checkpoint,7,2,5
2019-05-01,__init__.cpython-35.pyc,0,0,0
2019-05-01,backbone.cpython-35.pyc,0,0,0
2019-05-01,common.cpython-35.pyc,0,0,0
2019-05-01,config.cpython-35.pyc,0,0,0
2019-05-01,dataset.cpython-35.pyc,0,0,0
2019-05-01,utils.cpython-35.pyc,0,0,0
2019-05-01,yolov3.cpython-35.pyc,0,0,0
2019-05-01,dataset.py,2,2,0
2019-05-01,events.out.tfevents.1558402325.yang,0,0,0
2019-05-01,README.md,2,1,1
2019-05-01,README.md,2,1,1
2019-05-01,config.py,2,1,1
2019-05-01,README.md,6,4,2
2019-05-01,convert_weight.py,8,5,3
2019-05-01,README.md,6,4,2
2019-05-01,__init__.cpython-35.pyc,0,0,0
2019-05-01,backbone.cpython-35.pyc,0,0,0
2019-05-01,common.cpython-35.pyc,0,0,0
2019-05-01,config.cpython-35.pyc,0,0,0
2019-05-01,dataset.cpython-35.pyc,0,0,0
2019-05-01,utils.cpython-35.pyc,0,0,0
2019-05-01,yolov3.cpython-35.pyc,0,0,0
2019-05-01,README.md,13,11,2
2019-05-01,checkpoint,16,5,11
2019-05-01,convert_weight.py,9,8,1
2019-05-01,__init__.cpython-35.pyc,0,0,0
2019-05-01,backbone.cpython-35.pyc,0,0,0
2019-05-01,common.cpython-35.pyc,0,0,0
2019-05-01,config.cpython-35.pyc,0,0,0
2019-05-01,dataset.cpython-35.pyc,0,0,0
2019-05-01,utils.cpython-35.pyc,0,0,0
2019-05-01,yolov3.cpython-35.pyc,0,0,0
2019-05-01,config.py,6,4,2
2019-05-01,events.out.tfevents.1558310744.yang,0,0,0
2019-05-01,train.py,47,38,9
2019-05-01,README.md,5,3,2
2019-05-01,__init__.cpython-35.pyc,0,0,0
2019-05-01,backbone.cpython-35.pyc,0,0,0
2019-05-01,common.cpython-35.pyc,0,0,0
2019-05-01,config.cpython-35.pyc,0,0,0
2019-05-01,dataset.cpython-35.pyc,0,0,0
2019-05-01,utils.cpython-35.pyc,0,0,0
2019-05-01,yolov3.cpython-35.pyc,0,0,0
2019-05-01,voc_test.txt,4933,0,4933
2019-05-01,voc_train.txt,16531,0,16531
2019-05-01,train.py,9,4,5
2019-05-01,README.md,4,2,2
2019-05-01,README.md,6,3,3
2019-05-01,README.md,2,1,1
2019-05-01,README.md,2,1,1
2019-05-01,README.md,5,4,1
2019-05-01,README.md,5,3,2
2019-05-01,config.py,2,1,1
2019-05-01,README.md,4,2,2
2019-05-01,README.md,3,2,1
2019-05-01,README.md,3,1,2
2019-05-01,README.md,7,5,2
2019-05-01,README.md,8,3,5
2019-05-01,LICENSE,2,1,1
2019-05-01,README.md,81,42,39
2019-05-01,.DS_Store,0,0,0
2019-05-01,checkpoint,14,11,3
2019-05-01,convert_weight.py,192,70,122
2019-05-01,__init__.py,0,0,0
2019-05-01,__init__.cpython-35.pyc,0,0,0
2019-05-01,backbone.cpython-35.pyc,0,0,0
2019-05-01,common.cpython-35.pyc,0,0,0
2019-05-01,config.cpython-35.pyc,0,0,0
2019-05-01,dataset.cpython-35.pyc,0,0,0
2019-05-01,utils.cpython-35.pyc,0,0,0
2019-05-01,yolo_v3.cpython-35.pyc,0,0,0
2019-05-01,yolov3.cpython-35.pyc,0,0,0
2019-05-01,backbone.py,59,59,0
2019-05-01,common.py,115,79,36
2019-05-01,config.py,69,69,0
2019-05-01,convert_tfrecord.py,60,0,60
2019-05-01,dataset.py,427,233,194
2019-05-01,utils.py,453,135,318
2019-05-01,yolov3.py,527,199,328
2019-05-01,basline_anchors.txt,1,1,0
2019-05-01,coco_anchors.txt,1,1,0
2019-05-01,coco.names,0,0,0
2019-05-01,voc.names,0,0,0
2019-05-01,coco_anchors.txt,1,0,1
2019-05-01,voc_test.txt,4952,4952,0
2019-05-01,voc_train.txt,16551,16551,0
2019-05-01,611.jpg,0,0,0
2019-05-01,car.jpg,0,0,0
2019-05-01,dog.jpg,0,0,0
2019-05-01,FiraMono-Medium.otf,0,0,0
2019-05-01,SIL Open Font License.txt,45,0,45
2019-05-01,raccoon.names,1,0,1
2019-05-01,raccoon_anchors.txt,1,0,1
2019-05-01,rbc.names,1,0,1
2019-05-01,vehicle.names,1,0,1
2019-05-01,voc_anchors.txt,1,0,1
2019-05-01,raccoon1.jpg,0,0,0
2019-05-01,raccoon2.jpg,0,0,0
2019-05-01,road.jpeg,0,0,0
2019-05-01,road.mp4,0,0,0
2019-05-01,evaluate.py,275,150,125
2019-05-01,freeze_graph.py,41,41,0
2019-05-01,image_demo.py,53,53,0
2019-05-01,kmeans.py,140,0,140
2019-05-01,__init__.py,0,0,0
2019-05-01,README.md,99,99,0
2019-05-01,class_list.txt,48,48,0
2019-05-01,convert_gt_xml.py,37,37,0
2019-05-01,convert_gt_yolo.py,84,84,0
2019-05-01,convert_keras-yolo3.py,88,88,0
2019-05-01,convert_pred_darkflow_json.py,37,37,0
2019-05-01,convert_pred_yolo.py,36,36,0
2019-05-01,find_class.py,37,37,0
2019-05-01,intersect-gt-and-pred.py,58,58,0
2019-05-01,remove_class.py,82,82,0
2019-05-01,remove_delimiter_char.py,62,62,0
2019-05-01,remove_space.py,96,96,0
2019-05-01,rename_class.py,93,93,0
2019-05-01,result.txt,13,13,0
2019-05-01,main.py,772,772,0
2019-05-01,nms_demo.py,53,0,53
2019-05-01,quick_test.py,34,0,34
2019-05-01,quick_train.py,100,0,100
2019-05-01,extract_coco.py,73,0,73
2019-05-01,extract_voc.py,60,0,60
2019-05-01,make_raccoon_tfrecords.sh,5,0,5
2019-05-01,make_rbc_tfrecords.sh,18,0,18
2019-05-01,make_voc_tfrecords.sh,19,0,19
2019-05-01,voc_annotation.py,54,54,0
2019-05-01,show_input_image.py,52,0,52
2019-05-01,train.py,160,160,0
2019-05-01,video_demo.py,50,30,20
2019-04-01,quick_train.py,5,4,1
2019-04-01,quick_train.py,5,4,1
2019-03-01,Box-Clustering.ipynb,2,1,1
2019-03-01,Box-Clustering.ipynb,2,1,1
2019-03-01,quick_train.py,4,2,2
2019-03-01,quick_train.py,18,9,9
2019-02-01,README.md,2,1,1
2019-02-01,dataset.py,18,10,8
2019-02-01,quick_train.py,3,2,1
2019-02-01,quick_test.py,2,1,1
2019-02-01,dataset.py,70,67,3
2019-02-01,README.md,2,1,1
2019-02-01,README.md,8,4,4
2019-02-01,README.md,3,2,1
2019-02-01,README.md,2,1,1
2019-02-01,README.md,4,1,3
2019-01-01,README.md,2,1,1
2019-01-01,README.md,2,1,1
2019-01-01,README.md,3,1,2
2019-01-01,README.md,2,1,1
2019-01-01,red_blood_cell_dataset,1,0,1
2019-01-01,rbc.names,1,1,0
2019-01-01,red_blood_cell_dataset,1,1,0
2019-01-01,make_rbc_tfrecords.sh,18,18,0
2019-01-01,README.md,2,1,1
2019-01-01,README.md,4,4,0
2019-01-01,raccoon1.jpg,0,0,0
2019-01-01,raccoon2.jpg,0,0,0
2019-01-01,raccoon3.jpg,0,0,0
2019-01-01,raccoon1.jpg,0,0,0
2019-01-01,raccoon2.jpg,0,0,0
2019-01-01,raccoon3.jpg,0,0,0
2019-01-01,quick_test.py,4,2,2
2019-01-01,evaluate.py,2,1,1
2019-01-01,README.md,2,1,1
2019-01-01,README.md,1,1,0
2019-01-01,README.md,2,1,1
2019-01-01,README.md,11,6,5
2019-01-01,common.cpython-35.pyc,0,0,0
2019-01-01,dataset.cpython-35.pyc,0,0,0
2019-01-01,utils.cpython-35.pyc,0,0,0
2019-01-01,yolov3.cpython-35.pyc,0,0,0
2019-01-01,raccoon_anchors.txt,2,1,1
2019-01-01,levio.jpeg,0,0,0
2019-01-01,mxnet-yolov3.png,0,0,0
2019-01-01,result.jpg,0,0,0
2019-01-01,yolov2_loss.png,0,0,0
2019-01-01,yolov3,0,0,0
2019-01-01,evaluate.py,8,4,4
2019-01-01,kmeans.py,2,1,1
2019-01-01,nms_demo.py,3,1,2
2019-01-01,quick_test.py,13,4,9
2019-01-01,show_input_image.py,6,3,3
2019-01-01,README.md,3,2,1
2019-01-01,README.md,4,2,2
2019-01-01,README.md,5,4,1
2019-01-01,README.md,36,2,34
2019-01-01,README.md,2,1,1
2019-01-01,evaluate.py,16,10,6
2019-01-01,quick_train.py,2,1,1
2019-01-01,quick_train.py,16,10,6
2019-01-01,video_demo.py,2,2,0
2019-01-01,show_input_image.py,4,2,2
2019-01-01,show_input_image.py,8,4,4
2019-01-01,evaluate.py,6,1,5
2019-01-01,quick_train.py,2,1,1
2019-01-01,evaluate.py,2,1,1
2019-01-01,utils.py,6,0,6
2019-01-01,evaluate.py,4,4,0
2019-01-01,kmeans.py,1,0,1
2019-01-01,quick_train.py,2,1,1
2019-01-01,README.md,6,6,0
2019-01-01,checkpoint,5,3,2
2019-01-01,convert_weight.py,2,1,1
2019-01-01,common.cpython-35.pyc,0,0,0
2019-01-01,dataset.cpython-35.pyc,0,0,0
2019-01-01,utils.cpython-35.pyc,0,0,0
2019-01-01,yolov3.cpython-35.pyc,0,0,0
2019-01-01,utils.py,31,17,14
2019-01-01,coco_anchors.txt,2,1,1
2019-01-01,raccoon_anchors.txt,2,1,1
2019-01-01,voc_anchors.txt,2,1,1
2019-01-01,mxnet-yolov3.png,0,0,0
2019-01-01,requirements.txt,1,1,0
2019-01-01,evaluate.py,10,5,5
2019-01-01,kmeans.py,129,126,3
2019-01-01,quick_test.py,4,2,2
2019-01-01,quick_train.py,8,4,4
2019-01-01,convert_pb.sh,1,0,1
2019-01-01,extract_voc.py,5,3,2
2019-01-01,evaluate.py,3,2,1
2019-01-01,quick_train.py,2,1,1
2019-01-01,quick_train.py,2,1,1
2019-01-01,video_demo.py,6,3,3
2019-01-01,nms_demo.py,8,4,4
2019-01-01,convert_weight.py,19,12,7
2019-01-01,checkpoint,5,2,3
2019-01-01,common.cpython-35.pyc,0,0,0
2019-01-01,dataset.cpython-35.pyc,0,0,0
2019-01-01,utils.cpython-35.pyc,0,0,0
2019-01-01,yolov3.cpython-35.pyc,0,0,0
2019-01-01,dataset.py,1,1,0
2019-01-01,utils.py,28,26,2
2019-01-01,evaluate.py,91,75,16
2019-01-01,show_input_image.py,12,5,7
2019-01-01,dataset.py,7,5,2
2019-01-01,yolov3.py,6,3,3
2019-01-01,evaluate.py,64,62,2
2019-01-01,kmeans.py,18,18,0
2019-01-01,convert_tfrecord.py,39,16,23
2019-01-01,evaluate.py,17,17,0
2019-01-01,quick_train.py,5,3,2
2019-01-01,test.py,148,0,148
2019-01-01,train.py,37,0,37
2019-01-01,quick_test.py,3,1,2
2019-01-01,README.md,2,1,1
2019-01-01,README.md,2,1,1
2019-01-01,README.md,2,1,1
2019-01-01,train.py,59,0,59
2019-01-01,quick_train.py,2,1,1
2019-01-01,README.md,3,1,2
2019-01-01,README.md,1,1,0
2019-01-01,quick_test.py,2,1,1
2019-01-01,quick_train.py,4,2,2
2019-01-01,README.md,1,0,1
2019-01-01,checkpoint,5,3,2
2019-01-01,dataset.cpython-35.pyc,0,0,0
2019-01-01,vehicle.names,1,1,0
2019-01-01,quick_test.py,2,1,1
2019-01-01,quick_train.py,49,23,26
2019-01-01,show_input_image.py,8,4,4
2019-01-01,train.py,2,1,1
2019-01-01,make_raccoon_tfrecords.sh,2,1,1
2019-01-01,checkpoint,4,2,2
2019-01-01,dataset.cpython-35.pyc,0,0,0
2019-01-01,utils.cpython-35.pyc,0,0,0
2019-01-01,yolov3.cpython-35.pyc,0,0,0
2019-01-01,dataset.py,2,1,1
2019-01-01,yolov3.py,10,5,5
2019-01-01,raccoon_anchors.txt,2,1,1
2019-01-01,events.out.tfevents.1548175135.yuhy,0,0,0
2019-01-01,events.out.tfevents.1548208095.yuhy,0,0,0
2019-01-01,quick_test.py,40,40,0
2019-01-01,quick_train.py,82,53,29
2019-01-01,convert_pb.sh,1,1,0
2019-01-01,make_raccoon_tfrecords.sh,7,5,2
2019-01-01,test.py,128,107,21
2019-01-01,common.cpython-35.pyc,0,0,0
2019-01-01,dataset.cpython-35.pyc,0,0,0
2019-01-01,utils.cpython-35.pyc,0,0,0
2019-01-01,yolov3.cpython-35.pyc,0,0,0
2019-01-01,dataset.py,6,3,3
2019-01-01,utils.py,116,0,116
2019-01-01,events.out.tfevents.1548175135.yuhy,0,0,0
2019-01-01,events.out.tfevents.1548208095.yuhy,0,0,0
2019-01-01,utils.py,10,5,5
2019-01-01,utils.py,6,3,3
2019-01-01,utils.py,19,11,8
2019-01-01,train.py,49,30,19
2019-01-01,convert_weight.py,5,3,2
2019-01-01,make_voc_tfrecords.sh,2,1,1
2019-01-01,README.md,2,1,1
2019-01-01,README.md,5,3,2
2019-01-01,dataset.cpython-35.pyc,0,0,0
2019-01-01,utils.cpython-35.pyc,0,0,0
2019-01-01,extract_voc.py,123,34,89
2019-01-01,make_voc_tfrecords.sh,10,6,4
2019-01-01,show_input_image.py,6,3,3
2019-01-01,test.py,44,22,22
2019-01-01,convert_weight.py,3,2,1
2019-01-01,train.py,8,4,4
2019-01-01,yolov3.cpython-35.pyc,0,0,0
2019-01-01,coco_anchors.txt,0,0,0
2019-01-01,train2017.txt,0,0,0
2019-01-01,voc_anchors.txt,1,1,0
2019-01-01,show_input_image.py,54,54,0
2019-01-01,yolov3.py,11,5,6
2019-01-01,quick_train.py,30,15,15
2019-01-01,train.py,39,17,22
2019-01-01,README.md,49,37,12
2019-01-01,voc_test.txt,5138,0,5138
2019-01-01,voc_train.txt,17125,0,17125
2019-01-01,README.md,10,6,4
2019-01-01,common.cpython-35.pyc,0,0,0
2019-01-01,dataset.cpython-35.pyc,0,0,0
2019-01-01,utils.cpython-35.pyc,0,0,0
2019-01-01,yolov3.cpython-35.pyc,0,0,0
2019-01-01,quick_train.py,70,70,0
2019-01-01,extract_voc.py,21,14,7
2019-01-01,make_voc_tfrecords.sh,7,4,3
2019-01-01,voc_test.txt,5138,5138,0
2019-01-01,voc_train.txt,17125,17125,0
2019-01-01,train.py,33,21,12
2019-01-01,README.md,12,11,1
2019-01-01,extract_kangaroo.py,97,0,97
2019-01-01,extract_voc.py,56,0,56
2019-01-01,extract_voc.py,107,107,0
2019-01-01,make_voc_tfrecords.sh,16,16,0
2019-01-01,README.md,2,1,1
2019-01-01,README.md,2,1,1
2019-01-01,README.md,2,1,1
2019-01-01,README.md,2,2,0
2019-01-01,README.md,2,1,1
2019-01-01,README.md,7,4,3
2019-01-01,README.md,2,1,1
2019-01-01,yolov3.py,4,2,2
2019-01-01,dataset.py,8,4,4
2019-01-01,README.md,2,1,1
2019-01-01,README.md,2,1,1
2019-01-01,convert_weight.py,10,8,2
2019-01-01,convert_weight.py,29,14,15
2019-01-01,README.md,2,1,1
2019-01-01,README.md,1,1,0
2019-01-01,make_raccoon_tfrecords.sh,2,1,1
2019-01-01,train.py,4,2,2
2019-01-01,README.md,2,1,1
2019-01-01,README.md,23,14,9
2019-01-01,train2017.txt,0,0,0
2019-01-01,extract_coco.py,4,2,2
2019-01-01,make_raccoon_tfrecords.sh,1,1,0
2019-01-01,yolov3.cpython-35.pyc,0,0,0
2019-01-01,make_raccoon_tfrecords.sh,1,1,0
2019-01-01,raccoon_dataset,1,0,1
2019-01-01,test.py,9,5,4
2019-01-01,README.md,6,1,5
2019-01-01,events.out.tfevents.1547912202.yang-TM1604,0,0,0
2019-01-01,Box-Clustering-checkpoint.ipynb,538,0,538
2019-01-01,checkpoint,4,2,2
2019-01-01,dataset.cpython-35.pyc,0,0,0
2019-01-01,utils.cpython-35.pyc,0,0,0
2019-01-01,convert_tfrecord.py,21,15,6
2019-01-01,dataset.py,151,151,0
2019-01-01,utils.py,49,15,34
2019-01-01,yolov3.py,4,2,2
2019-01-01,raccoon.names,1,1,0
2019-01-01,raccoon_anchors.txt,1,1,0
2019-01-01,events.out.tfevents.1547912202.yang-TM1604,0,0,0
2019-01-01,Box-Clustering.ipynb,0,0,0
2019-01-01,quick_train.py,65,0,65
2019-01-01,raccoon_dataset,1,1,0
2019-01-01,test.py,56,32,24
2019-01-01,train.py,28,11,17
2019-01-01,checkpoint,4,2,2
2019-01-01,utils.cpython-35.pyc,0,0,0
2019-01-01,yolov3.cpython-35.pyc,0,0,0
2019-01-01,utils.py,12,6,6
2019-01-01,yolov3.py,27,11,16
2019-01-01,voc.names,20,20,0
2019-01-01,train.py,4,2,2
2019-01-01,README.md,6,5,1
2019-01-01,K-means.png,0,0,0
2019-01-01,Box-Clustering-checkpoint.ipynb,538,538,0
2019-01-01,Box-Clustering.ipynb,538,538,0
2019-01-01,utils.py,17,9,8
2019-01-01,yolov3.py,7,2,5
2019-01-01,README.md,6,4,2
2019-01-01,README.md,8,1,7
2019-01-01,put_log_here.txt,0,0,0
2019-01-01,events.out.tfevents.1547899399.yang-TM1604,0,0,0
2019-01-01,put_data_here.txt,0,0,0
2019-01-01,put_tfrecords_here.txt,0,0,0
2019-01-01,000000103280.jpg,0,0,0
2019-01-01,000000166853.jpg,0,0,0
2019-01-01,000000183519.jpg,0,0,0
2019-01-01,000000189737.jpg,0,0,0
2019-01-01,000000196853.jpg,0,0,0
2019-01-01,000000295032.jpg,0,0,0
2019-01-01,000000304519.jpg,0,0,0
2019-01-01,000000343606.jpg,0,0,0
