Date,Filename,Total,Additions,Deletions
2019-08-01,utils.py,24,12,12
2019-07-01,utils.py,24,12,12
2018-09-01,jade.js,9,0,9
2018-09-01,jade.css,6,1,5
2018-09-01,jade.js,88,66,22
2018-09-01,jade.css,19,10,9
2018-09-01,jade.html,32,16,16
2018-08-01,jade.css,23,13,10
2018-08-01,jade.html,4,2,2
2018-08-01,icons.py,15,8,7
2018-08-01,jade.css,37,2,35
2018-08-01,jade.html,2,0,2
2018-08-01,icons.py,28,14,14
2018-08-01,menu.py,168,82,86
2018-08-01,utils.py,12,5,7
2018-08-01,views.py,38,19,19
2018-08-01,jade.html,9,3,6
2018-07-01,utils.py,2,1,1
2018-07-01,menu.py,25,13,12
2018-07-01,utils.py,55,55,0
2018-07-01,views.py,8,4,4
2018-07-01,icons.py,37,18,19
2018-07-01,menu.py,193,96,97
2018-07-01,views.py,22,22,0
2018-07-01,jade.html,4,4,0
2018-06-01,jade.html,4,0,4
2018-06-01,jade.js,8,7,1
2018-06-01,search.js,4,2,2
2018-06-01,jade.css,12,8,4
2018-06-01,jade.html,19,11,8
2018-06-01,__init__.py,0,0,0
2018-06-01,icons.py,2,1,1
2018-06-01,menu.py,3,2,1
2018-06-01,jade.html,34,17,17
2018-06-01,icons.py,56,56,0
2018-06-01,jade.js,42,21,21
2018-06-01,menu.py,99,99,0
2018-06-01,jade.css,10,5,5
2018-06-01,jade.html,193,0,193
2018-06-01,jade.js,67,0,67
2018-06-01,jade.js,2,1,1
2018-06-01,jade.html,4,4,0
2018-06-01,jade.js,8,4,4
2018-06-01,search.js,4,2,2
2018-06-01,jade.css,22,14,8
2018-06-01,jade.html,2,1,1
2018-06-01,jade.css,5,5,0
2018-06-01,jade.html,1,1,0
2018-06-01,jade.html,1,1,0
2018-06-01,jade.html,2,1,1
2018-05-01,jade.css,44,22,22
2018-05-01,jade.html,193,193,0
2018-05-01,jade.js,67,67,0
2018-05-01,jade.js,8,6,2
2018-05-01,jade.html,10,5,5
2018-05-01,search.js,1,0,1
2018-05-01,clock.js,2,1,1
2018-05-01,clock.js,16,2,14
2018-05-01,jade.js,6,0,6
2018-05-01,jade.css,6,6,0
2018-05-01,duck-it.html,8,0,8
2018-05-01,jade.html,1,1,0
2018-05-01,clock.js,16,2,14
2018-05-01,clock.js,16,2,14
2018-05-01,jade.js,163,29,134
2018-05-01,search.js,22,3,19
2018-05-01,jade.css,101,4,97
2018-05-01,jade.html,22,0,22
2018-05-01,jade.js,61,33,28
2018-05-01,search.js,40,24,16
2018-05-01,jade.css,129,63,66
2018-05-01,jade.html,18,7,11
2018-05-01,jade.js,21,13,8
2018-05-01,jade.html,5,2,3
2018-02-01,jade.js,9,2,7
2018-02-01,jade.js,9,2,7
2017-12-01,jade.css,3,2,1
2017-12-01,jade.js,19,9,10
2017-12-01,jade.css,5,3,2
2017-11-01,jade.js,48,29,19
2017-11-01,search.js,4,2,2
2017-11-01,jade.css,424,239,185
2017-11-01,jade.html,44,27,17
2017-09-01,jade.js,4,2,2
2017-09-01,jade.js,6,6,0
2017-09-01,animate.css,3340,0,3340
2017-09-01,jade.css,648,0,648
2017-09-01,materialize.min.css,16,0,16
2017-09-01,xl.css,109,0,109
2017-09-01,ui.html,163,0,163
2017-09-01,masonry.pkgd.min.js,9,0,9
2017-09-01,materialize.min.js,10,0,10
2017-09-01,jade.js,476,289,187
2017-09-01,search.js,114,70,44
2017-09-01,animate.css,3340,3340,0
2017-09-01,jade.css,4181,4181,0
2017-09-01,duck-it.html,8,8,0
2017-09-01,jade.html,215,215,0
2017-09-01,masonry.pkgd.min.js,9,9,0
2017-09-01,materialize.min.js,6,6,0
2017-08-01,search.js,24,17,7
2017-08-01,jade.js,10,10,0
2017-08-01,jade.css,47,32,15
2017-08-01,ui.html,16,16,0
2017-08-01,jade.js,35,21,14
2017-08-01,search.js,20,8,12
2017-08-01,jade.css,18,9,9
2017-07-01,jade.css,16,16,0
2017-07-01,jade.js,16,14,2
2017-07-01,jade.css,17,14,3
2017-07-01,jade.js,12,7,5
2017-07-01,search.js,4,2,2
2017-07-01,jade.js,335,172,163
2017-07-01,jade.css,4,4,0
2017-07-01,ui.html,5,3,2
2017-07-01,jade.js,28,16,12
2017-07-01,jade.js,2,1,1
2017-07-01,ui.html,4,2,2
2017-07-01,jade.js,34,32,2
2017-07-01,jade.css,12,9,3
2017-07-01,jade.js,2,1,1
2017-07-01,jade.css,16,16,0
2017-07-01,search.js,139,81,58
2017-07-01,jade.css,2,1,1
2017-07-01,jade.css,39,31,8
2017-07-01,jade.js,24,11,13
2017-07-01,ui.html,228,120,108
2017-07-01,jade.css,10,0,10
2017-07-01,ui.html,7,1,6
2017-07-01,jade.css,6,4,2
2017-07-01,jade.js,37,22,15
2017-07-01,jade.css,7,4,3
2017-07-01,jade.css,10,8,2
2017-07-01,jade.js,9,0,9
2017-07-01,ui.html,2,1,1
2017-07-01,search.js,126,75,51
2017-07-01,search.js,11,3,8
2017-07-01,jade.css,45,29,16
2017-07-01,jade.css,4,2,2
2017-07-01,ui.html,2,1,1
2017-07-01,jade.css,12,8,4
2017-07-01,ui.html,23,11,12
2017-07-01,jade.css,9,4,5
2017-07-01,jade.js,17,15,2
2017-07-01,jade.css,23,18,5
2017-07-01,ui.html,3,2,1
2017-06-01,jade.css,1,1,0
2017-06-01,jade.css,3,3,0
2017-06-01,ui.html,2,1,1
2017-06-01,jade.css,25,12,13
2017-06-01,search.js,2,1,1
2017-06-01,search.js,9,7,2
2017-06-01,jade.css,18,10,8
2017-06-01,jade.css,47,34,13
2017-06-01,ui.html,1,1,0
2017-06-01,jade.css,58,27,31
2017-06-01,ui.html,15,7,8
2017-06-01,jade.js,12,3,9
2017-06-01,jade.js,24,1,23
2017-06-01,jade.css,16,10,6
2017-06-01,ui.html,6,3,3
2017-06-01,ui.html,23,11,12
2017-03-01,jade.css,4,3,1
2017-03-01,jade.css,3,2,1
2017-03-01,jade.css,11,2,9
2017-03-01,ui.html,3,0,3
2017-03-01,jade.js,20,10,10
2017-03-01,search.js,6,3,3
2017-03-01,ui.html,36,18,18
2017-03-01,jade.css,9,8,1
2017-03-01,ui.html,2,1,1
2017-03-01,jade.css,18,9,9
2017-03-01,clock.js,19,10,9
2017-03-01,jade.js,30,15,15
2017-03-01,search.js,22,11,11
2017-03-01,ui.html,36,18,18
2017-03-01,jade.css,8,2,6
2017-03-01,jade.js,5,2,3
2017-03-01,ui.html,5,5,0
2017-03-01,jade.js,48,25,23
2017-03-01,jade.js,5,3,2
2017-03-01,jade.js,8,4,4
2017-03-01,jade.js,24,12,12
2017-03-01,ui.html,12,6,6
2017-03-01,search.js,38,19,19
2017-03-01,clock.js,22,11,11
2017-03-01,jade.js,11,9,2
2017-03-01,ui.html,69,55,14
2017-03-01,jade.js,40,11,29
2017-03-01,ui.html,2,1,1
2017-03-01,jade.css,69,33,36
2017-03-01,jade.js,74,48,26
2017-03-01,ui.html,14,7,7
2017-02-01,jade.js,8,6,2
2017-02-01,ui.html,2,1,1
2017-02-01,jade.css,30,13,17
2017-02-01,jade.js,10,6,4
2017-02-01,ui.html,26,13,13
2017-02-01,jade.css,2,1,1
2017-02-01,ui.html,2,1,1
2017-02-01,jade.css,2,1,1
2017-02-01,ui.html,12,6,6
2017-02-01,jade.css,4,4,0
2017-02-01,jade.js,3,3,0
2017-02-01,jade.css,2,2,0
2017-02-01,jade.css,24,23,1
2017-02-01,ui.html,22,11,11
2017-02-01,ui.html,9,5,4
2017-02-01,animate.css,0,0,0
2017-02-01,jade.css,18,9,9
2017-02-01,materialize.min.css,0,0,0
2017-02-01,xl.css,0,0,0
2017-02-01,clock.js,0,0,0
2017-02-01,jade.js,0,0,0
2017-02-01,jquery-3.1.1.min.js,0,0,0
2017-02-01,masonry.pkgd.min.js,0,0,0
2017-02-01,materialize.min.js,0,0,0
2017-02-01,search.js,0,0,0
2017-02-01,ui.html,1,1,0
2017-02-01,clock.js,19,19,0
2017-02-01,jade.js,162,162,0
2017-02-01,jquery-3.1.1.min.js,4,4,0
2017-02-01,masonry.pkgd.min.js,9,9,0
2017-02-01,materialize.min.js,10,10,0
2017-02-01,search.js,55,55,0
2017-02-01,animate.css,3340,3340,0
2017-02-01,jade.css,480,480,0
2017-02-01,materialize.min.css,16,16,0
2017-02-01,xl.css,109,109,0
2017-02-01,jade.js,1,1,0
2017-02-01,jade.css,1,1,0
2017-02-01,jade.py,258,258,0
2017-02-01,ui.html,95,95,0
